time	fLOW FROM 14
16695	0.002534122
16710	0.002499516
16725	0.002464909
16740	0.002427167
16755	0.002388964
16770	0.002350761
16785	0.002312557
16800	0.002274355
16815	0.002236152
16830	0.002203801
16845	0.002175402
16860	0.002147003
16875	0.002118604
16890	0.002090205
16905	0.002061806
16920	0.002034287
16935	0.002014025
16950	0.001993762
16965	0.0019735
16980	0.001953237
16995	0.001932975
17010	0.001912712
17025	0.001891268
17040	0.001868213
17055	0.001845158
17070	0.001822103
17085	0.001799049
17100	0.001775995
17115	0.00175294
17130	0.001732244
17145	0.001713931
17160	0.001695619
17175	0.001677306
17190	0.001658994
17205	0.00164068
17220	0.001622367
17235	0.00160382
17250	0.001584832
17265	0.001565843
17280	0.001546855
17295	0.001527866
17310	0.001508877
17325	0.001489889
17340	0.0014709
17355	0.001456642
17370	0.001442646
17385	0.00142865
17400	0.001414654
17415	0.001400657
17430	0.001386661
17445	0.001372665
17460	0.001358133
17475	0.001342402
17490	0.00132667
17505	0.001310939
17520	0.001295208
17535	0.001279477
17550	0.001263746
17565	0.001248015
17580	0.001234281
17595	0.001223733
17610	0.001213184
17625	0.001202636
17640	0.001192088
17655	0.001181539
17670	0.001170991
17685	0.001160442
17700	0.001149942
17715	0.001139619
17730	0.001129295
17745	0.001118973
17760	0.001108649
17775	0.001098325
17790	0.001088003
17805	0.001077679
17820	0.001067356
17835	0.001057531
17850	0.001047846
17865	0.001038161
17880	0.001028476
17895	0.00101879
17910	0.001009106
17925	0.000999421
17940	0.000989736
17955	0.000979998
17970	0.000969501
17985	0.000959002
18000	0.000948505
18015	0.000938006
18030	0.000927509
18045	0.00091701
18060	0.000906513
18075	0.000896015
18090	0.000885547
18105	0.000878252
18120	0.000870957
18135	0.000863662
18150	0.000856367
18165	0.000849072
18180	0.000841777
18195	0.000834482
18210	0.000827187
18225	0.000819892
18240	0.000814313
18255	0.000809657
18270	0.000805
18285	0.000800344
18300	0.000795687
18315	0.00079103
18330	0.000786373
18345	0.000781716
18360	0.00077706
18375	0.00077231
18390	0.000765828
18405	0.000759346
18420	0.000752865
18435	0.000746382
18450	0.0007399
18465	0.000733418
18480	0.000726936
18495	0.000720454
18510	0.000713972
18525	0.000707439
18540	0.000700523
18555	0.000693607
18570	0.00068669
18585	0.000679774
18600	0.000672858
18615	0.000665942
18630	0.000659025
18645	0.000652109
18660	0.000645193
18675	0.000638277
18690	0.000632773
18705	0.00062767
18720	0.000622565
18735	0.000617461
18750	0.000612357
18765	0.000607252
18780	0.000602148
18795	0.000597045
18810	0.00059194
18825	0.000586836
18840	0.00058188
18855	0.000578634
18870	0.000575387
18885	0.000572141
18900	0.000568895
18915	0.000565649
18930	0.000562403
18945	0.000559157
18960	0.00055591
18975	0.000552663
18990	0.000549417
19005	0.000546204
19020	0.00054343
19035	0.000540656
19050	0.000537882
19065	0.000535108
19080	0.000532334
19095	0.00052956
19110	0.000526786
19125	0.000524012
19140	0.000521238
19155	0.000518464
19170	0.00051569
19185	0.000511749
19200	0.000507438
19215	0.000503126
19230	0.000498815
19245	0.000494503
19260	0.000490191
19275	0.000485879
19290	0.000481568
19305	0.000477256
19320	0.000472945
19335	0.000468633
19350	0.000464334
19365	0.000461129
19380	0.000457924
19395	0.000454718
19410	0.000451513
19425	0.000448308
19440	0.000445103
19455	0.000441897
19470	0.000438692
19485	0.000435487
19500	0.000432281
19515	0.000429076
19530	0.000425871
19545	0.000423503
19560	0.000421271
19575	0.000419039
19590	0.000416807
19605	0.000414575
19620	0.000412343
19635	0.000410111
19650	0.00040788
19665	0.000405647
19680	0.000403416
19695	0.000401183
19710	0.000398952
19725	0.000396915
19740	0.00039522
19755	0.000393524
19770	0.000391828
19785	0.000390133
19800	0.000388437
19815	0.000386741
19830	0.000385045
19845	0.00038335
19860	0.000381654
19875	0.000379958
19890	0.000378262
19905	0.000376567
19920	0.000374376
19935	0.00037176
19950	0.000369143
19965	0.000366526
19980	0.00036391
19995	0.000361294
20010	0.000358677
20025	0.000356061
20040	0.000353445
20055	0.000350828
20070	0.000348212
20085	0.000345596
20100	0.000342979
20115	0.000340439
20130	0.000338148
20145	0.000335856
20160	0.000333565
20175	0.000331274
20190	0.000328982
20205	0.000326691
20220	0.000324399
20235	0.000322108
20250	0.000319817
20265	0.000317525
20280	0.000315234
20295	0.000312942
20310	0.000310651
20325	0.000308644
20340	0.000307
20355	0.000305356
20370	0.000303711
20385	0.000302068
20400	0.000300423
20415	0.000298779
20430	0.000297134
20445	0.000295491
20460	0.000293846
20475	0.000292202
20490	0.000290558
20505	0.000288914
20520	0.00028727
20535	0.000285703
20550	0.000284439
20565	0.000283174
20580	0.000281911
20595	0.000280646
20610	0.000279382
20625	0.000278117
20640	0.000276854
20655	0.000275589
20670	0.000274325
20685	0.00027306
20700	0.000271797
20715	0.000270532
20730	0.000269268
20745	0.000268004
20760	0.000266687
20775	0.000265324
20790	0.000263961
20805	0.000262598
20820	0.000261236
20835	0.000259873
20850	0.00025851
20865	0.000257147
20880	0.000255785
20895	0.000254421
20910	0.000253059
20925	0.000251696
20940	0.000250334
20955	0.00024897
20970	0.000247608
20985	0.000246201
21000	0.000244725
21015	0.000243249
21030	0.000241773
21045	0.000240297
21060	0.000238821
21075	0.000237345
21090	0.000235869
21105	0.000234393
21120	0.000232917
21135	0.000231441
21150	0.000229965
21165	0.000228489
21180	0.000227013
21195	0.000225537
21210	0.00022406
21225	0.000222829
21240	0.00022172
